FIPS,State,County,% Limited Access,% Diabetic,% Rural,Household Income,Mentally Unhealthy Days,Food Environment Index,Income Ratio
8000.0,Colorado,,5.762510215,6.2,13.847839694,58942.0,3.1,7.4,4.528037757
8001.0,Colorado,Adams,4.5301659179,7.0,3.6204464191,54876.0,3.6,7.7,3.7921873831
8003.0,Colorado,Alamosa,2.7146425642,7.1,36.866299773,37484.0,3.1,7.6,5.7982532064
8005.0,Colorado,Arapahoe,3.5388218501,6.1,1.5753413881,61092.0,3.2,7.5,4.3822165719
8007.0,Colorado,Archuleta,7.7406270425,6.3,59.376034426,44417.0,3.7,7.5,4.073541585
8009.0,Colorado,Baca,8.3489116834,8.3,100.0,35787.0,2.5,7.5,4.6538100307
8011.0,Colorado,Bent,12.655470281,7.0,37.959686106,34440.0,4.1,6.2,4.6669249145
8013.0,Colorado,Boulder,2.8422249291,4.7,8.9130825924,71405.0,2.8,7.9,5.1771329905
8014.0,Colorado,Broomfield,1.2809184864,5.9,0.5832990392,79117.0,3.2,8.4,4.0412313815
8015.0,Colorado,Chaffee,1.8575576761,7.0,37.413667247,48012.0,2.6,8.1,3.667871264
8017.0,Colorado,Cheyenne,11.5543296,7.1,100.0,50379.0,1.5,7.7,3.4626895854
8019.0,Colorado,Clear Creek,2.3753253752,6.7,100.0,63489.0,2.9,8.2,4.4343240652
8021.0,Colorado,Conejos,2.2059772546,6.9,100.0,34923.0,3.8,8.2,5.0797663931
8023.0,Colorado,Costilla,55.349059711,8.2,100.0,28233.0,1.8,2.2,4.9843542642
8025.0,Colorado,Crowley,29.969303366,6.6,100.0,31477.0,,4.5,4.4091838225
8027.0,Colorado,Custer,8.1582535549,7.9,100.0,47268.0,2.5,7.4,4.4797366673
8029.0,Colorado,Delta,1.6631966187,8.6,63.172008271,41730.0,3.9,7.8,4.8204758055
8031.0,Colorado,Denver,6.3761954274,6.3,0.0,51156.0,3.2,6.7,5.4218211316
8033.0,Colorado,Dolores,8.6492819248,7.5,100.0,42416.0,,7.0,4.7806153846
8035.0,Colorado,Douglas,1.5933160701,4.5,10.287425779,105192.0,2.4,8.8,3.2817259379
8037.0,Colorado,Eagle,4.2275299439,4.1,19.983907121,78517.0,2.1,8.0,3.8160481109
8039.0,Colorado,Elbert,6.5363061818,5.3,100.0,80972.0,2.9,8.3,3.3242194175
8041.0,Colorado,El Paso,8.6538385779,6.5,8.9343251969,57072.0,3.4,6.8,4.3259544686
8043.0,Colorado,Fremont,10.356164315,8.4,26.420211857,41412.0,3.5,6.5,4.219670299
8045.0,Colorado,Garfield,4.8066462893,5.8,24.103991913,57364.0,2.8,7.8,3.741778053
8047.0,Colorado,Gilpin,0.0,6.7,100.0,64962.0,,8.4,4.0559347238
8049.0,Colorado,Grand,4.2830096315,5.4,82.597857576,57312.0,4.0,8.0,3.2494025833
8051.0,Colorado,Gunnison,2.1378800335,4.8,58.607413208,48391.0,2.5,7.6,4.2116283417
8053.0,Colorado,Hinsdale,26.789306649,7.0,100.0,52188.0,,6.2,3.9204055767
8055.0,Colorado,Huerfano,11.228410973,8.7,56.146624944,32418.0,6.4,6.4,4.4177870315
8057.0,Colorado,Jackson,8.0909964651,6.8,100.0,43549.0,,7.7,3.6458536585
8059.0,Colorado,Jefferson,4.3067242099,5.8,6.8963581976,68161.0,2.9,7.9,4.1115863142
8061.0,Colorado,Kiowa,35.634861317,8.5,100.0,42378.0,,4.6,4.6741499822
8063.0,Colorado,Kit Carson,8.40367353,8.6,48.69407497,39633.0,2.1,7.5,4.3408026075
8065.0,Colorado,Lake,26.537234725,5.2,31.067031464,47547.0,2.6,5.3,3.9783783784
8067.0,Colorado,La Plata,4.4430899862,5.6,59.948572096,58675.0,2.5,7.8,4.1202187927
8069.0,Colorado,Larimer,5.1085741695,5.3,11.660381137,59337.0,3.1,7.6,4.5629417145
8071.0,Colorado,Las Animas,14.948767182,8.1,40.794479912,38547.0,2.9,6.4,5.0755240444
8073.0,Colorado,Lincoln,6.7617443947,8.6,100.0,41510.0,,7.5,5.2371301419
8075.0,Colorado,Logan,6.1451701733,7.5,29.155841296,43561.0,3.0,7.5,4.3507267984
8077.0,Colorado,Mesa,8.8029372695,7.6,12.676267525,48108.0,3.5,7.0,4.3818281136
8079.0,Colorado,Mineral,22.529215679,7.4,100.0,50286.0,,6.5,4.6155933619
8081.0,Colorado,Moffat,6.5593004165,6.8,27.357738311,58890.0,3.2,7.6,4.5309532852
8083.0,Colorado,Montezuma,7.7187066993,6.3,67.182298806,43655.0,3.9,6.9,4.5174382099
8085.0,Colorado,Montrose,8.3263907108,6.9,44.989824595,43946.0,2.8,7.1,4.2493476515
8087.0,Colorado,Morgan,5.3296638232,7.6,32.547320572,46332.0,2.7,7.7,3.7799683809
8089.0,Colorado,Otero,16.344030921,7.9,34.406032606,36811.0,3.8,5.9,4.6011179204
8091.0,Colorado,Ouray,1.6193304547,6.9,100.0,58137.0,,8.4,3.394558267
8093.0,Colorado,Park,11.702824894,6.1,100.0,57510.0,3.4,7.5,3.9514889529
8095.0,Colorado,Phillips,9.1877067219,7.7,100.0,46805.0,2.7,7.5,4.258165199
8097.0,Colorado,Pitkin,1.5717911592,4.9,44.203405645,71012.0,2.7,8.0,4.3195856513
8099.0,Colorado,Prowers,15.006216342,7.1,37.885427456,38830.0,3.7,6.5,5.584754484
8101.0,Colorado,Pueblo,16.001256857,9.0,14.153511502,41352.0,3.9,6.2,4.7426843318
8103.0,Colorado,Rio Blanco,2.3286922799,6.0,100.0,59364.0,3.3,8.0,3.6780675212
8105.0,Colorado,Rio Grande,2.3242949045,7.1,62.535469871,39834.0,4.8,7.8,4.091885512
8107.0,Colorado,Routt,5.0587606631,3.9,45.178442299,63763.0,2.2,7.8,3.8619014085
8109.0,Colorado,Saguache,51.45547256,6.0,100.0,35310.0,3.1,2.2,4.2740441857
8111.0,Colorado,San Juan,19.399857703,6.4,100.0,41683.0,,5.3,3.4143795334
8113.0,Colorado,San Miguel,1.3377017362,4.8,100.0,53674.0,,8.1,3.8472163939
8115.0,Colorado,Sedgwick,4.5389728997,7.9,100.0,39980.0,3.5,7.9,4.7553470233
8117.0,Colorado,Summit,6.1282219948,4.0,19.518468243,63236.0,1.9,7.6,3.3876621541
8119.0,Colorado,Teller,4.6516848547,7.0,62.60385439,62725.0,3.3,8.0,3.8668154762
8121.0,Colorado,Washington,19.100146962,7.1,100.0,45572.0,,6.5,4.1760914862
8123.0,Colorado,Weld,4.7794702039,6.3,20.460001978,58404.0,3.0,7.7,4.3842613707
8125.0,Colorado,Yuma,6.8174743559,6.4,64.910883202,45487.0,1.6,7.9,3.8402883682
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
19000.0,Iowa,,5.8540485188,9.1,35.980671983,52286.0,2.6,7.8,4.2178047814
19001.0,Iowa,Adair,2.0565087257,11.2,100.0,47905.0,,8.6,3.7347602897
19003.0,Iowa,Adams,1.7690427136,9.5,100.0,44004.0,6.1,8.5,3.634597948
19005.0,Iowa,Allamakee,6.4491056056,8.9,73.963712491,44673.0,2.0,7.9,3.710210084
19007.0,Iowa,Appanoose,5.9551006287,9.6,58.252502522,37683.0,3.3,7.5,4.4307386671
19009.0,Iowa,Audubon,1.4523048494,11.1,100.0,47227.0,2.6,8.5,4.2839375374
19011.0,Iowa,Benton,3.0157948378,9.7,80.656542414,59179.0,2.1,8.5,3.6020297209
19013.0,Iowa,Black Hawk,8.9769530259,9.7,13.480814707,46281.0,3.0,7.0,4.2750439367
19015.0,Iowa,Boone,3.9834213455,9.4,50.634836159,52578.0,3.2,8.3,4.1017828342
19017.0,Iowa,Bremer,1.9659678226,9.7,64.48755973,61665.0,2.7,8.8,3.7780240998
19019.0,Iowa,Buchanan,3.3123970669,10.3,68.537074148,54383.0,2.1,8.3,3.6111932574
19021.0,Iowa,Buena Vista,3.8957660593,10.0,43.909180652,47514.0,2.1,8.3,4.0715454196
19023.0,Iowa,Butler,13.367354645,9.5,100.0,53920.0,2.0,7.4,3.5455665025
19025.0,Iowa,Calhoun,15.057904496,10.9,100.0,47351.0,2.6,7.0,4.2605693701
19027.0,Iowa,Carroll,0.8706377096,9.1,52.036894696,51328.0,2.6,8.7,4.3998082938
19029.0,Iowa,Cass,7.2544397437,8.7,53.632846088,45191.0,3.0,7.6,3.7208909889
19031.0,Iowa,Cedar,2.7440185668,10.7,83.420725445,58530.0,1.7,8.6,3.2316283304
19033.0,Iowa,Cerro Gordo,4.6157963987,11.1,20.592965052,46063.0,3.1,7.8,4.4457951874
19035.0,Iowa,Cherokee,1.7786752813,10.2,61.381709742,51655.0,1.2,8.6,4.1586981141
19037.0,Iowa,Chickasaw,6.1067889157,9.1,73.534850068,50342.0,1.9,8.1,4.0250783699
19039.0,Iowa,Clarke,2.1938335523,9.1,48.104673702,42776.0,,8.2,4.7215779966
19041.0,Iowa,Clay,1.8859494727,8.8,34.289314214,51399.0,2.2,8.4,4.1023308958
19043.0,Iowa,Clayton,7.1562739971,8.4,96.596613161,48626.0,2.6,7.7,3.7037409757
19045.0,Iowa,Clinton,6.3921278689,11.0,32.233895268,49702.0,2.7,7.6,4.4228152295
19047.0,Iowa,Crawford,8.0572831816,8.9,51.801591015,48555.0,2.4,8.1,3.7486934382
19049.0,Iowa,Dallas,0.8632018398,8.3,30.585922734,79309.0,2.5,9.0,4.0630338998
19051.0,Iowa,Davis,5.425312312,11.0,100.0,44477.0,2.5,7.8,4.0044800637
19053.0,Iowa,Decatur,4.2299608806,9.5,100.0,37534.0,2.3,7.6,5.0083175061
19055.0,Iowa,Delaware,2.9188524953,9.8,71.470389552,54587.0,2.5,8.6,3.8836061722
19057.0,Iowa,Des Moines,6.8999091379,12.6,26.735275883,42882.0,3.0,7.4,4.1177226908
19059.0,Iowa,Dickinson,4.3302657181,9.0,35.045299094,58610.0,2.3,8.2,4.2651431597
19061.0,Iowa,Dubuque,5.0838294713,9.5,27.016753334,51907.0,1.9,8.0,3.7952112446
19063.0,Iowa,Emmet,6.9039668184,9.3,39.895165987,46892.0,2.1,8.1,4.3122850461
19065.0,Iowa,Fayette,1.7782489636,10.5,70.579501916,44739.0,3.0,8.3,3.8255281772
19067.0,Iowa,Floyd,4.8021118637,11.1,52.732625897,48964.0,1.8,7.8,4.4447185222
19069.0,Iowa,Franklin,4.115905065,9.7,60.243445693,47879.0,3.1,8.3,3.8698873214
19071.0,Iowa,Fremont,13.654167905,9.9,100.0,50934.0,,7.3,3.9589414454
19073.0,Iowa,Greene,8.0236368933,9.7,58.161953728,47936.0,3.0,7.7,4.3894473618
19075.0,Iowa,Grundy,2.2600830497,10.2,100.0,61381.0,,8.8,3.4531608891
19077.0,Iowa,Guthrie,2.9663559811,9.3,100.0,53708.0,1.5,8.4,4.0063931806
19079.0,Iowa,Hamilton,6.2608804391,10.6,50.481720156,50867.0,2.8,7.6,3.9222488038
19081.0,Iowa,Hancock,4.530915693,9.9,70.020280399,54835.0,2.8,8.3,3.7905523194
19083.0,Iowa,Hardin,4.2097185286,9.7,71.084749629,51907.0,2.6,8.2,4.2423943662
19085.0,Iowa,Harrison,4.89306245,9.0,81.11602358,53764.0,2.2,8.2,4.0272197019
19087.0,Iowa,Henry,11.735379636,10.7,57.130801688,50084.0,2.6,6.8,4.3717120326
19089.0,Iowa,Howard,11.297724714,10.2,62.99393686,45975.0,,7.5,3.8794536528
19091.0,Iowa,Humboldt,5.8639659979,10.3,46.581762608,52286.0,,8.0,4.1613031915
19093.0,Iowa,Ida,0.3467762875,10.4,100.0,51948.0,1.7,8.5,4.1548899387
19095.0,Iowa,Iowa,2.1857280382,9.4,82.18281871,58028.0,2.4,8.5,3.778253843
19097.0,Iowa,Jackson,5.1575655056,11.2,53.269850867,46180.0,2.2,7.9,4.3138881988
19099.0,Iowa,Jasper,4.0901433828,10.7,57.507735736,55492.0,3.7,7.7,3.8887043915
19101.0,Iowa,Jefferson,4.3560682522,10.1,38.728255061,41942.0,1.6,7.8,4.2749645979
19103.0,Iowa,Johnson,3.7178992178,5.5,18.536544368,53204.0,2.3,7.7,5.2212881023
