FIPS,State,County,Predicted_change_obese
55001,Wisconsin,Adams,4.186382089795835
55003,Wisconsin,Ashland,1.4777466736038183
55005,Wisconsin,Barron,3.1651298930999205
55007,Wisconsin,Bayfield,0.5559649512607407
55009,Wisconsin,Brown,1.1787751834404658
55011,Wisconsin,Buffalo,2.7372242697981797
55013,Wisconsin,Burnett,2.4576093860849113
55015,Wisconsin,Calumet,0.672408435485788
55017,Wisconsin,Chippewa,2.651177646538497
55019,Wisconsin,Clark,4.448542660283868
55021,Wisconsin,Columbia,3.0215707529319524
55023,Wisconsin,Crawford,3.0922469042497984
55025,Wisconsin,Dane,0.2572071428960656
55027,Wisconsin,Dodge,1.5854439516378998
55029,Wisconsin,Door,2.5088817963640735
55031,Wisconsin,Douglas,2.546916655516694
55033,Wisconsin,Dunn,3.420674347386857
55035,Wisconsin,Eau Claire,3.038507448281435
55037,Wisconsin,Florence,3.9403957091364354
55039,Wisconsin,Fond du Lac,0.9939847748614545
55041,Wisconsin,Forest,2.6361130256580125
55043,Wisconsin,Grant,3.0949674044977664
55045,Wisconsin,Green,2.0492369559626695
55047,Wisconsin,Green Lake,2.4816494312742097
55049,Wisconsin,Iowa,3.4307382462423828
55051,Wisconsin,Iron,2.9871726234951734
55053,Wisconsin,Jackson,2.53515182462414
55055,Wisconsin,Jefferson,0.8841174170651505
55057,Wisconsin,Juneau,3.202380675576604
55059,Wisconsin,Kenosha,2.0982013570583655
55061,Wisconsin,Kewaunee,2.010796292085173
55063,Wisconsin,La Crosse,2.5152567782385176
55065,Wisconsin,Lafayette,1.3224171121565362
55067,Wisconsin,Langlade,0.15785518737726795
55069,Wisconsin,Lincoln,2.432131264023109
55071,Wisconsin,Manitowoc,1.0571032314526116
55073,Wisconsin,Marathon,0.2942860123154889
55075,Wisconsin,Marinette,2.0043500090841446
55077,Wisconsin,Marquette,3.1255594201795205
55079,Wisconsin,Milwaukee,0.6225613660485769
55081,Wisconsin,Monroe,3.9543889486125736
55083,Wisconsin,Oconto,3.895381580798102
55085,Wisconsin,Oneida,2.849629096729993
55087,Wisconsin,Outagamie,1.511075972370852
